primary_name,RoomType,TotalCount,KingSize,QueenSize,TwinBedded,HollywoodTwins,Single_Sofa-cum-bed,TotalRoomSize,BedRoomSize,LivingRoomSize,View,RoomDescription,Balcony,MaxOccupancy,Amenities
Sterling Orient Woods,ROOM CAT -1 (Garden view premier room with sit out),5,5,,0,,,320,270,,Garden View,"Woods Villa rooms are designed to provide guest a memorable and eco friendly stay combing traditional architectire with modern comfort. This 320 sq.ft house is equipped with a comfortable bed and a split wash & bath area and a beautiful bath tub.. The lovely, private verandah facing into the garden area lends itself for a relaxed chat giving you the experience of sitting in a village in Pench.",Y,2 Adults + 1 kid / 3 Adults,"Tea Coffee maker, LED 42 TV, Bathtub,Hot water Geyser"
Sterling Orient Woods,ROOM CAT-2 (Garden view villa with sit out),21,21,,0,,,300,250,,Garden View,"Deliuxe rooms are designed to provide guest a memorable and eco friendly stay combing traditional architectire with modern comfort. This 300 sq.ft house is equipped with a comfortable bed and a split wash & bath area. The lovely, private verandah facing into the garden area lends itself for a relaxed chat giving you the experience of sitting in a village in Pench.",y,2 Adults + 1 kid / 3 Adults,"Tea Coffee maker, LED 43TV, Hot water Geyser"
Sterling Orient Woods,ROOM CAT-3 (Luxury tent with sit out),1,1,,0,,,600,550,,Garden View,"Tent House designed to provide guest a memorable and luxury stay combing traditional architectire with modern comfort. This 600 sq.ft house is equipped with a comfortable bed and a split wash & bath area and a beautiful bath tub and open bath area. The lovely, private verandah facing into the garden area lends itself for a relaxed chat giving you the experience of sitting in a village in Pench.",y,2 Adults + 1 kid / 3 Adults,"Tea Coffee maker, LED 42 TV, Ho Bathtub,water geyser"
Sterling Nainital,ENTIRE RESORT,49,49,,0,,,,,,,,,,
Sterling Nainital,ROOM CAT-1 (Classic),18,18,,0,,,264.6sq.ft,,,Valley View,We have 18th classic rooms on the second block.,Y,2 Adults + 1 kid,"Room amenities- like 250ml 02 water bottle per day, RO water, TCM, eletric kettle, LCD TV, AC, Wash Room Amenities - dental kit, shaving kit, room slipers, shampoo, body lotion, shower cap, disposable bags and hair dryer on request."
Sterling Nainital,ROOM CAT -2 (Premier),16,16,,0,,,312sq.ft,,,Valley View,16 rooms in main building on 1st and 2nd floor,y,2 Adults + 1 kid,"Room amenities- like 250ml 02 water bottle per day, RO water, TCM, eletric kettle, LCD TV, AC, Wash Room Amenities - dental kit, shaving kit, room slipers, shampoo, body lotion, shower cap, disposable bags and hair dryer on request."
Sterling Nainital,ROOM CAT -3 (Super Premier rooms with valley view),8,8,,0,,,324sq.ft,,,Valley View,We only 8 Super premier rooms with valley view in main building on the top floor.,y,3 Adults + 01 Kid,"Room amenities- like 250ml 02 water bottle per day, RO water, TCM, eletric kettle, LCD TV, AC, Wash Room Amenities - dental kit, shaving kit, room slipers, shampoo, body lotion, shower cap, disposable bags and hair dryer on request."
Sterling Nainital,ROOM CAT -4 (Super Premier rooms with sit out area),7,7,,0,,,400sq.ft,,,Valley View,We have only 7 super premier rooms with sit out area in main building on ground floor.,N,3 Adults + 01 Kid /4 Adults,"Room amenities- like 250ml 02 water bottle per day, RO water, TCM, eletric kettle, LCD TV, AC, Wash Room Amenities - dental kit, shaving kit, room slipers, shampoo, body lotion, shower cap, disposable bags and hair dryer on request, sitting sofa."
Sterling Corbett,ENTIRE RESORT,44,44,,0,0,,,,,,,,,
Sterling Corbett,ROOM CAT-1 (Classic),28,28,,0,0,,243-269,221,,"Mountain View (26), With out View - 2",Unwind in this contemporary 243-269 sq.ft room with a choice of mountain or river view. The classic rooms come with an option of queen / twin beds and can accommodate a maximum of 2 adults and 1 child,"Yes, Except 2 room",2 Adults,"Minifridge,TCM, LCD 32"
Sterling Corbett,ROOM CAT -2 (Premier),8,8,,0,0,,297,217,,Mountain View -8,Premier Rooms come with a choice of queen / twin beds and a single sofa cum bed. They are 297 sq.ft in size and come with a view of the mountains. Premier rooms accommodate a maximum of 2 adults and 2 children / 3 adults,Yes,2 Adults + 1 kid / 3 Adults,"Microwave, Tea Coffee maker, LED 32"
Sterling Corbett,ROOM CAT-3 (Privilege Suite),8,8,,0,0,,387,"Bed room : 156 Living room : 177",,Mountain View -8,"Each meticulously designed Privilege Suite comes with a king-sized bed and a separate living area replete with a double sofa cum bed. Covering an area of 387 sq.ft, this spacious suite can accommodate a maximum of 3 adults and 1 child. The suites have a spectacular view of mountains and river.",Yes,2 Adults + 2 kid / 4 Adults,"Microwave, Tea Coffee maker, LED 32"
