primary_name,RoomType,TotalCount,KingSize,QueenSize,TwinBedded,HollywoodTwins,Single_Sofa-cum-bed,TotalRoomSize,BedRoomSize,LivingRoomSize,View,RoomDescription,Balcony,MaxOccupancy,Amenities
Sterling Nature Trails Durshet,AC Classic,15,15,,,,15,219,182,,Internal View,"Room with king size bed attached bathroom, has one single bed. The Classic AC Rooms, located in the heritage wing of the sprawling resort estate, are a class apart.",Y,2 Adults + 1 kid / 3 Adults,"Bottled water, Tea coffee maker, bathroom amenities"
Sterling Nature Trails Durshet,AC Cottage,4,4,,,,4,229,193,,No View,"Room with king size bed attached bathroom, has one single bed. With slanting roofs inspired by rustic village dwellings, attractive porches, and minimalistic décor, our AC Cottage Rooms are cosy and calm.",Y,2 Adults + 1 kid / 3 Adults,"Bottled water, Tea coffee maker, bathroom amenities"
Sterling Nature Trails Durshet,Small Dorm,6,3,,,,0,253,227,,No View,6 adult per dormitory with one common washroom,Y,6 Adults,
Sterling Nature Trails Durshet,Big Dorm,1,,,,,0,253,227,,No View,12 adult per dormitory with two common washroom,Y,12 Adults,
Sterling Nature Trails Durshet,Large Dormitory,4,10,,,,2,1304,538,,No View,22 adult per dormitoey with 10 common washroom,Y,22 Adults,
Sterling Nature Trails Durshet,Super Large Dormitory,1,20,,,,2,,,,No View,42 adult per dormitoey with 10 common washroom,Y,42 Adults,
Sterling Nature Trails Durshet,Caravan Room,1,2,,,,0,,,,Green valley view from the balcony,"Two bedrooms and a living room with one washroom. Conceptualize your stay in a caravan as of on move with modern facilities. Enjoy green views lazing in your extra large balcony",Y,4 Adults,"Bottled water, Tea coffee maker, bathroom amenities"
Sterling Nature Trails Durshet,Container Room,1,1,,,,0,,,,Green valley view,"Two bedrooms and a living room with one washroom. Conceptualize your stay in a container made into room with modern facilities. Enjoy spectacular view right from the bed, and an extra large balcony to laze around",Y,2 Adults + 1 kid / 3 Adults,"Bottled water, Tea coffee maker, bathroom amenities"
Sterling Nature Trails Sajan,ENTIRE RESORT,49,106,,138,,,,,,,,,,
Sterling Nature Trails Sajan,Tree Top,12,12,,12,,,323,158.67,,Garden (12),"This is 1 room with attached bathroom, has sofa cum bed",Y,2 Adults + 1 kid / 3 Adults,"water bottls 1 ltr each, shower gel, comb, shampoo, slippars, body lotion, soap, shower cap, sanitary bag, towel"
Sterling Nature Trails Sajan,Classic AC Room,8,8,,8,,,329.8,163.8,,Garden (8),"This is 1 room with attached bathroom, has sofa cum bed",Y,2 Adults + 1 kid / 3 Adults,"water bottls 1 ltr each, shower gel, comb, shampoo, slippars, body lotion, soap, shower cap, sanitary bag, towel"
Sterling Nature Trails Sajan,AC Warli Hut,2,2,,2,,,306,143,,Garden (2),"This is 1 room with attached bathroom, has sofa cum bed",No,2 Adults + 1 kid / 3 Adults,"water bottls 1 ltr each, shower gel, comb, shampoo, slippars, body lotion, soap, shower cap, sanitary bag, towel"
Sterling Nature Trails Sajan,Non AC Warli Hut,8,8,,8,,,306,143,,Garden (8),"Room with attached bathroom, 1 king size bed 1 single bed",no,2 Adults + 1 kid / 3 Adults,"water bottle 1 ltr each, soap,"
Sterling Nature Trails Sajan,AC Tent,15,30,,30,,,144,N/A,,NA,"12 bedded room with bunk bed style tent, 2 double and 2 single bed bunk bed in each tent with common washroom out side the tent which common for all 15 tent. There is 35 common washroom and toilets",No,12 Adult,soap and towel
Sterling Nature Trails Sajan,Non AC Dormitory,4,16,,48,,,405,610,,NA,20 bedded room with 2 common washroom in side the dormitory and bunk bed used.,No,20 Adult,soap and towel
Sterling Nature Trails Kundalika,ENTIRE RESORT,27,7,,,20,40,,,,,,,,
Sterling Nature Trails Kundalika,ROOM CAT-1 (Regular A/c tents),20,0,,,20,40,254,183,,Forest and River View,These are 20 rooms with attached bathroom,N,4 Adults/2 Adult 2 child/3 Adult 1 child/1 Adult 3 child.,
